Date	Hometime	DistTravelled	RoG	MaxDiam	MaxHomeDist	SigLocsVisited	AvgFlightLen	StdFlightLen	AvgFlightDur	StdFlightDur	ProbPause	SigLocEntropy	MinsMissing	CircdnRtn	WkEndDayRtn
2017-07-21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1440	NA	NA
2017-07-22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1440	NA	NA
2017-07-23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1440	NA	NA
2017-07-24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1440	NA	NA
2017-07-25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1440	NA	NA
2017-07-26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1440	NA	NA
2017-07-27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1440	NA	NA
2017-07-28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1440	NA	NA
