satellite_time,uid,lat,lon,alt,accu
1480982650000,8043,37.7532,-122.431,0.0,19.646
1480982788000,8043,37.7532,-122.431,54.0,6.0
1480982793000,8043,37.7532,-122.431,54.0,6.0
1480982798000,8043,37.7532,-122.431,54.0,6.0
1480982803000,8043,37.7532,-122.431,54.0,6.0
1480982808000,8043,37.7532,-122.431,54.0,6.0
1480982813000,8043,37.7532,-122.431,54.0,6.0
1480982818000,8043,37.7532,-122.431,54.0,6.0
1480982823000,8043,37.7532,-122.431,54.0,6.0
1480982828000,8043,37.7532,-122.431,54.0,6.0
1480982833000,8043,37.7532,-122.431,54.0,6.0
1480982838000,8043,37.7532,-122.431,54.0,6.0
1480982843000,8043,37.7532,-122.431,54.0,6.0
1480983150000,8043,37.7532,-122.431,56.0,11.0
1480983155000,8043,37.7532,-122.431,56.0,11.0
1480983160000,8043,37.7532,-122.431,56.0,11.0
1480983165000,8043,37.7532,-122.431,56.0,11.0
1480983170000,8043,37.7532,-122.431,56.0,11.0
1480983175000,8043,37.7532,-122.431,56.0,11.0
1480983180000,8043,37.7532,-122.431,56.0,11.0
1480983185000,8043,37.7532,-122.431,56.0,11.0
1480983190000,8043,37.7532,-122.431,56.0,11.0
1480983195000,8043,37.7532,-122.431,56.0,11.0
1480983200000,8043,37.7532,-122.431,56.0,11.0
1480983205000,8043,37.7532,-122.431,56.0,11.0
1480983512000,8043,37.7533,-122.431,47.0,21.0
1480983517000,8043,37.7533,-122.431,47.0,21.0
1480983522000,8043,37.7533,-122.431,47.0,21.0
1480983527000,8043,37.7533,-122.431,47.0,21.0
1480983532000,8043,37.7533,-122.431,47.0,21.0
1480983537000,8043,37.7533,-122.431,47.0,21.0
1480983542000,8043,37.7533,-122.431,47.0,21.0
1480983547000,8043,37.7533,-122.431,47.0,21.0
1480983552000,8043,37.7533,-122.431,47.0,21.0
1480983557000,8043,37.7533,-122.431,47.0,21.0
1480983562000,8043,37.7533,-122.431,47.0,21.0
1480983831000,8043,37.7533,-122.431,44.0,21.0
1480983836000,8043,37.7533,-122.431,44.0,21.0
1480983841000,8043,37.7533,-122.431,44.0,21.0
1480983846000,8043,37.7533,-122.431,44.0,21.0
1480983851000,8043,37.7533,-122.431,44.0,21.0
1480983856000,8043,37.7533,-122.431,44.0,21.0
1480983861000,8043,37.7533,-122.431,44.0,21.0
1480983866000,8043,37.7533,-122.431,44.0,21.0
1480983871000,8043,37.7533,-122.431,44.0,21.0
1480983876000,8043,37.7533,-122.431,44.0,21.0
1480983881000,8043,37.7533,-122.431,44.0,21.0
1480983886000,8043,37.7533,-122.431,44.0,21.0
1480984132000,8043,37.7533,-122.431,39.0,16.0
1480984137000,8043,37.7533,-122.431,39.0,16.0
1480984142000,8043,37.7533,-122.431,39.0,16.0
1480984147000,8043,37.7533,-122.431,39.0,16.0
1480984152000,8043,37.7533,-122.431,39.0,16.0
1480984157000,8043,37.7533,-122.431,39.0,16.0
1480984162000,8043,37.7533,-122.431,39.0,16.0
1480984167000,8043,37.7533,-122.431,39.0,16.0
1480984172000,8043,37.7533,-122.431,39.0,16.0
1480984177000,8043,37.7533,-122.431,39.0,16.0
1480984182000,8043,37.7533,-122.431,39.0,16.0
1480984452000,8043,37.7532,-122.431,0.0,19.71
1480984593000,8043,37.7533,-122.431,41.0,10.0
1480984598000,8043,37.7533,-122.431,41.0,10.0
1480984603000,8043,37.7533,-122.431,41.0,10.0
1480984608000,8043,37.7533,-122.431,41.0,10.0
1480984613000,8043,37.7533,-122.431,41.0,10.0
1480984618000,8043,37.7533,-122.431,41.0,10.0
1480984623000,8043,37.7533,-122.431,41.0,10.0
1480984628000,8043,37.7533,-122.431,41.0,10.0
1480984633000,8043,37.7533,-122.431,41.0,10.0
1480984638000,8043,37.7533,-122.431,41.0,10.0
1480984643000,8043,37.7533,-122.431,41.0,10.0
1480984915000,8043,37.7533,-122.431,43.0,17.0
1480984920000,8043,37.7533,-122.431,43.0,17.0
1480984925000,8043,37.7533,-122.431,43.0,17.0
1480984930000,8043,37.7533,-122.431,43.0,17.0
1480984935000,8043,37.7533,-122.431,43.0,17.0
1480984940000,8043,37.7533,-122.431,43.0,17.0
1480984945000,8043,37.7533,-122.431,43.0,17.0
1480984950000,8043,37.7533,-122.431,43.0,17.0
1480984955000,8043,37.7533,-122.431,43.0,17.0
1480984960000,8043,37.7533,-122.431,43.0,17.0
1480984965000,8043,37.7533,-122.431,43.0,17.0
1480985236000,8043,37.7533,-122.431,42.0,21.0
1480985241000,8043,37.7533,-122.431,42.0,21.0
1480985246000,8043,37.7533,-122.431,42.0,21.0
1480985251000,8043,37.7533,-122.431,42.0,21.0
1480985256000,8043,37.7533,-122.431,42.0,21.0
1480985261000,8043,37.7533,-122.431,42.0,21.0
1480985266000,8043,37.7533,-122.431,42.0,21.0
1480985271000,8043,37.7533,-122.431,42.0,21.0
1480985276000,8043,37.7533,-122.431,42.0,21.0
1480985281000,8043,37.7533,-122.431,42.0,21.0
1480985286000,8043,37.7533,-122.431,42.0,21.0
1480985557000,8043,37.7533,-122.431,41.0,20.0
1480985562000,8043,37.7533,-122.431,41.0,20.0
1480985567000,8043,37.7533,-122.431,41.0,20.0
1480985572000,8043,37.7533,-122.431,41.0,20.0
1480985577000,8043,37.7533,-122.431,41.0,20.0
1480985582000,8043,37.7533,-122.431,41.0,20.0
1480985587000,8043,37.7533,-122.431,41.0,20.0
1480985592000,8043,37.7533,-122.431,41.0,20.0
1480985597000,8043,37.7533,-122.431,41.0,20.0
1480985602000,8043,37.7533,-122.431,41.0,20.0
1480985607000,8043,37.7533,-122.431,41.0,20.0
1480985872000,8043,37.7532,-122.431,0.0,19.842
1480986073000,8043,37.7533,-122.431,41.0,8.0
1480986078000,8043,37.7533,-122.431,41.0,8.0
1480986083000,8043,37.7533,-122.431,41.0,8.0
1480986088000,8043,37.7533,-122.431,41.0,8.0
1480986093000,8043,37.7533,-122.431,41.0,8.0
1480986098000,8043,37.7533,-122.431,41.0,8.0
1480986103000,8043,37.7533,-122.431,41.0,8.0
1480986108000,8043,37.7533,-122.431,41.0,8.0
1480986113000,8043,37.7533,-122.431,41.0,8.0
1480986118000,8043,37.7533,-122.431,41.0,8.0
1480986123000,8043,37.7533,-122.431,41.0,8.0
1480986128000,8043,37.7533,-122.431,41.0,8.0
1480986434000,8043,37.7533,-122.431,41.0,10.0
