satellite_time,uid,lat,lon,alt,accu
1494444378000,9097,37.79430997,-122.39754076,-33.0,34.0
1494444379000,9097,37.79431161,-122.39754017,-33.0,37.0
1494444380000,9097,37.79430927,-122.39754155,-33.0,41.0
1494444381000,9097,37.7943126,-122.39754176,-33.0,41.0
1494444382000,9097,37.79432941,-122.3975425,-34.0,41.0
1494444383000,9097,37.79434491,-122.39754331,-35.0,38.0
1494444384000,9097,37.79434803,-122.39754367,-35.0,33.0
1494444385000,9097,37.79434865,-122.39754352,-35.0,33.0
1494444386000,9097,37.79433719,-122.39754382,-34.0,35.0
1494444387000,9097,37.79433032,-122.39754423,-34.0,32.0
1494444388000,9097,37.79433331,-122.39754449,-34.0,32.0
1494444389000,9097,37.79434725,-122.39754418,-35.0,31.0
1494444390000,9097,37.79435642,-122.39754411,-35.0,30.0
1494444391000,9097,37.79435701,-122.39754424,-35.0,32.0
1494444392000,9097,37.7943561,-122.39754431,-35.0,32.0
1494444393000,9097,37.79435655,-122.39754471,-35.0,32.0
1494444394000,9097,37.79435709,-122.39754472,-35.0,31.0
1494444395000,9097,37.79435345,-122.39759155,-35.0,30.0
1494444396000,9097,37.79431526,-122.39776005,-32.0,32.0
1494444397000,9097,37.79429293,-122.39788724,-33.0,34.0
1494444398000,9097,37.79425026,-122.39803394,-34.0,37.0
1494444399000,9097,37.79420196,-122.39806828,-36.0,33.0
1494444400000,9097,37.79415927,-122.39815564,-37.0,29.0
1494444401000,9097,37.7942219,-122.39827839,-45.0,24.0
1494444402000,9097,37.79427118,-122.39839297,-48.0,22.0
1494444403000,9097,37.79423251,-122.39849477,-47.0,21.0
1494444404000,9097,37.79420341,-122.39857982,-48.0,20.0
1494444405000,9097,37.79416667,-122.39866384,-47.0,20.0
1494444406000,9097,37.7941345,-122.39874071,-45.0,21.0
1494444407000,9097,37.79416759,-122.39883635,-44.0,19.0
1494444408000,9097,37.79416608,-122.39891775,-44.0,20.0
1494444409000,9097,37.79416392,-122.39897955,-44.0,21.0
1494444410000,9097,37.79415969,-122.39906380000001,-44.0,24.0
1494444411000,9097,37.79416347,-122.39914608,-44.0,28.0
1494444412000,9097,37.79421577,-122.39926254,-43.0,31.0
1494444413000,9097,37.79422121,-122.39930665,-43.0,33.0
1494444414000,9097,37.79425999,-122.39944174,-41.0,37.0
1494444415000,9097,37.79435894,-122.39947853,-38.0,25.0
1494444416000,9097,37.79439033,-122.39953932,-37.0,25.0
1494444417000,9097,37.79439275,-122.39958844,-36.0,23.0
1494444418000,9097,37.79440259,-122.39962140000002,-36.0,23.0
1494444419000,9097,37.79440455,-122.39966251,-38.0,24.0
1494444420000,9097,37.79442148,-122.39968425,-40.0,24.0
1494444421000,9097,37.79441499,-122.39970876,-41.0,25.0
1494444422000,9097,37.794403,-122.39972836,-43.0,28.0
1494444423000,9097,37.79437597,-122.39974019,-43.0,28.0
1494444424000,9097,37.79437632,-122.39975591,-42.0,30.0
1494444425000,9097,37.79435846,-122.39977186,-41.0,31.0
1494444426000,9097,37.79437405,-122.39978513,-42.0,32.0
1494444427000,9097,37.79436733,-122.3997981,-42.0,33.0
1494444428000,9097,37.79434942,-122.39981203,-41.0,33.0
1494444429000,9097,37.79433701,-122.399829,-43.0,26.0
1494444430000,9097,37.79433087,-122.39987023,-43.0,22.0
1494444431000,9097,37.79432721,-122.39991074,-44.0,21.0
1494444432000,9097,37.79432183,-122.39995206,-43.0,20.0
1494444433000,9097,37.79431877,-122.39999709,-45.0,21.0
1494444434000,9097,37.79431875,-122.40004604,-46.0,20.0
