satellite_time,uid,lat,lon,alt,accu
1450230532000,9058,37.7262,-122.42399999999999,-3.0,15.0
1450230532000,9058,37.7262,-122.42399999999999,-3.0,15.0
1450230532000,9058,37.7262,-122.42399999999999,-3.0,15.0
1450230532000,9058,37.7262,-122.42399999999999,-3.0,15.0
1450230532000,9058,37.7262,-122.42399999999999,-3.0,15.0
1450230532000,9058,37.7262,-122.42399999999999,-3.0,15.0
1450230532000,9058,37.7262,-122.42399999999999,-3.0,15.0
1450230532000,9058,37.7262,-122.42399999999999,-3.0,15.0
1450230532000,9058,37.7262,-122.42399999999999,-3.0,15.0
1450230532000,9058,37.7262,-122.42399999999999,-3.0,15.0
1450230532000,9058,37.7262,-122.42399999999999,-3.0,15.0
1450230532000,9058,37.7262,-122.42399999999999,-3.0,15.0
1450230533000,9058,37.7263,-122.42299999999999,4.0,15.0
1450230533000,9058,37.7263,-122.42299999999999,4.0,15.0
1450230533000,9058,37.7263,-122.42299999999999,4.0,15.0
1450230533000,9058,37.7263,-122.42299999999999,4.0,15.0
1450230533000,9058,37.7263,-122.42299999999999,4.0,15.0
1450230533000,9058,37.7263,-122.42299999999999,4.0,15.0
1450230533000,9058,37.7263,-122.42299999999999,4.0,15.0
1450230533000,9058,37.7263,-122.42299999999999,4.0,15.0
1450230533000,9058,37.7263,-122.42299999999999,4.0,15.0
1450230533000,9058,37.7263,-122.42299999999999,4.0,15.0
1450230533000,9058,37.7263,-122.42299999999999,4.0,15.0
1450230533000,9058,37.7263,-122.42299999999999,4.0,15.0
1450230534000,9058,37.7263,-122.42299999999999,6.0,15.0
1450230534000,9058,37.7263,-122.42299999999999,6.0,15.0
1450230534000,9058,37.7263,-122.42299999999999,6.0,15.0
1450230534000,9058,37.7263,-122.42299999999999,6.0,15.0
1450230534000,9058,37.7263,-122.42299999999999,6.0,15.0
1450230534000,9058,37.7263,-122.42299999999999,6.0,15.0
1450230534000,9058,37.7263,-122.42299999999999,6.0,15.0
1450230534000,9058,37.7263,-122.42299999999999,6.0,15.0
1450230534000,9058,37.7263,-122.42299999999999,6.0,15.0
1450230534000,9058,37.7263,-122.42299999999999,6.0,15.0
1450230534000,9058,37.7263,-122.42299999999999,6.0,15.0
1450230534000,9058,37.7263,-122.42299999999999,6.0,15.0
1450230535000,9058,37.7263,-122.42299999999999,11.0,12.0
1450230535000,9058,37.7263,-122.42299999999999,11.0,12.0
1450230535000,9058,37.7263,-122.42299999999999,11.0,12.0
1450230535000,9058,37.7263,-122.42299999999999,11.0,12.0
1450230535000,9058,37.7263,-122.42299999999999,11.0,12.0
1450230535000,9058,37.7263,-122.42299999999999,11.0,12.0
1450230535000,9058,37.7263,-122.42299999999999,11.0,12.0
1450230535000,9058,37.7263,-122.42299999999999,11.0,12.0
1450230535000,9058,37.7263,-122.42299999999999,11.0,12.0
1450230535000,9058,37.7263,-122.42299999999999,11.0,12.0
1450230535000,9058,37.7263,-122.42299999999999,11.0,12.0
1450230535000,9058,37.7263,-122.42299999999999,11.0,12.0
1450230536000,9058,37.7263,-122.42399999999999,15.0,12.0
1450230536000,9058,37.7263,-122.42399999999999,15.0,12.0
1450230536000,9058,37.7263,-122.42399999999999,15.0,12.0
1450230536000,9058,37.7263,-122.42399999999999,15.0,12.0
1450230536000,9058,37.7263,-122.42399999999999,15.0,12.0
1450230536000,9058,37.7263,-122.42399999999999,15.0,12.0
1450230536000,9058,37.7263,-122.42399999999999,15.0,12.0
1450230536000,9058,37.7263,-122.42399999999999,15.0,12.0
1450230536000,9058,37.7263,-122.42399999999999,15.0,12.0
1450230536000,9058,37.7263,-122.42399999999999,15.0,12.0
1450230536000,9058,37.7263,-122.42399999999999,15.0,12.0
1450230536000,9058,37.7263,-122.42399999999999,15.0,12.0
1450230537000,9058,37.7263,-122.42399999999999,17.0,13.0
1450230537000,9058,37.7263,-122.42399999999999,17.0,13.0
1450230537000,9058,37.7263,-122.42399999999999,17.0,13.0
1450230537000,9058,37.7263,-122.42399999999999,17.0,13.0
1450230537000,9058,37.7263,-122.42399999999999,17.0,13.0
1450230537000,9058,37.7263,-122.42399999999999,17.0,13.0
1450230537000,9058,37.7263,-122.42399999999999,17.0,13.0
1450230537000,9058,37.7263,-122.42399999999999,17.0,13.0
1450230537000,9058,37.7263,-122.42399999999999,17.0,13.0
1450230537000,9058,37.7263,-122.42399999999999,17.0,13.0
